date|likeThreshold
1311273000000|400
1312137000000|400
1312741800000|400
1313346600000|400
1313951400000|400
1314815400000|400
1315420200000|400
1316025000000|400
1316629800000|400
1317407400000|400
1318012200000|400
1318617000000|400
1319221800000|400
1320085800000|400
1320690600000|400
1321295400000|400
1321900200000|400
1322677800000|400
1323282600000|400
1323887400000|400
1324492200000|400
1325356200000|400
1325961000000|400
1326565800000|400
1327170600000|400
1328034600000|400
1328639400000|400
1329244200000|400
1329849000000|400
1330540200000|400
1331145000000|400
1331749800000|400
1332354600000|400
