person1Id|person2Id|startDate|endDate
6597069775223|28587302328862|1288549800000|1291141800000
17592186054023|17592186055291|1288549800000|1291141800000
26388279066764|32985348839999|1288549800000|1291141800000
21990232557814|28587302326530|1288549800000|1291141800000
9479|24189255818296|1288549800000|1291141800000
10995116286071|15393162797407|1288549800000|1291141800000
17592186053487|8796093026502|1288549800000|1291141800000
26388279067378|30786325580833|1288549800000|1291141800000
26388279072457|26388279069137|1288549800000|1291141800000
4398046518617|30786325582071|1288549800000|1291141800000
8796093023813|6597069772062|1296498600000|1298917800000
15393162798199|32985348842795|1296498600000|1298917800000
15393162796687|28587302325842|1296498600000|1298917800000
19791209307591|21990232559832|1296498600000|1298917800000
6597069767732|8796093030215|1296498600000|1298917800000
10995116287025|13194139537360|1296498600000|1298917800000
21990232565418|10995116288126|1296498600000|1298917800000
2199023258120|10995116283196|1296498600000|1298917800000
19791209307970|13194139534270|1296498600000|1298917800000
6597069776407|17592186047098|1296498600000|1298917800000
32985348840569|32985348837470|1298917800000|1301596200000
17592186049871|32985348836386|1298917800000|1301596200000
15393162796004|26388279066989|1298917800000|1301596200000
10995116278627|21990232557749|1298917800000|1301596200000
2199023256872|4398046513291|1298917800000|1301596200000
28587302327472|19791209304223|1298917800000|1301596200000
13194139536590|6597069773260|1298917800000|1301596200000
24189255820971|17592186047951|1298917800000|1301596200000
30786325580773|1521|1298917800000|1301596200000
10995116288363|4555|1298917800000|1301596200000
2199023257724|26388279075890|1301596200000|1304188200000
28587302322552|17592186045497|1301596200000|1304188200000
21990232563931|13194139534836|1301596200000|1304188200000
19791209305358|15393162792376|1301596200000|1304188200000
28587302325201|19791209309786|1301596200000|1304188200000
6597069775172|4398046512303|1301596200000|1304188200000
21990232560990|30786325578075|1301596200000|1304188200000
21990232558750|13194139542510|1301596200000|1304188200000
32985348833558|8504|1301596200000|1304188200000
21990232565867|30786325583309|1301596200000|1304188200000
10995116279596|30786325583394|1304188200000|1306866600000
15393162794813|2199023264157|1304188200000|1306866600000
32985348837637|21990232565935|1304188200000|1306866600000
28587302326940|10995116288322|1304188200000|1306866600000
28587302325670|4398046512999|1304188200000|1306866600000
32985348840312|28587302326977|1304188200000|1306866600000
24189255820472|15393162796967|1304188200000|1306866600000
10995116278300|8796093031333|1304188200000|1306866600000
17592186045165|28587302330570|1304188200000|1306866600000
26388279071453|5301|1304188200000|1306866600000
28587302325203|6597069774243|1309458600000|1312137000000
17592186048713|24189255813195|1309458600000|1312137000000
35184372093583|2199023260445|1309458600000|1312137000000
17592186055193|32985348843230|1309458600000|1312137000000
24189255812045|8796093031900|1309458600000|1312137000000
6597069772293|6597069776065|1309458600000|1312137000000
26388279071670|19791209308155|1309458600000|1312137000000
15393162798574|19791209301354|1309458600000|1312137000000
24189255815219|4398046518467|1309458600000|1312137000000
24189255814220|6597069766821|1309458600000|1312137000000
30786325582071|28587302332150|1317407400000|1320085800000
2199023256049|6597069767375|1317407400000|1320085800000
10995116285903|15393162792659|1317407400000|1320085800000
15393162790207|10995116278627|1317407400000|1320085800000
30786325577774|21990232556585|1317407400000|1320085800000
28587302328973|26388279070070|1317407400000|1320085800000
26388279068264|6597069777438|1317407400000|1320085800000
15393162796413|30786325582983|1317407400000|1320085800000
21990232563466|2199023256086|1317407400000|1320085800000
24189255821701|32985348842397|1317407400000|1320085800000
19791209308415|15393162789923|1322677800000|1325356200000
19791209306592|30786325581206|1322677800000|1325356200000
6597069767117|26388279072063|1322677800000|1325356200000
8796093022435|28587302326809|1322677800000|1325356200000
15393162789933|19791209302036|1322677800000|1325356200000
24189255816983|17592186048163|1322677800000|1325356200000
6597069771259|10995116283607|1322677800000|1325356200000
2199023260232|26388279069833|1322677800000|1325356200000
8796093025828|32985348836952|1322677800000|1325356200000
4398046511747|8796093032233|1322677800000|1325356200000
2199023262990|19791209309339|1325356200000|1328034600000
2199023261361|15393162797407|1325356200000|1328034600000
28587302327818|6597069773333|1325356200000|1328034600000
8796093026653|13194139539553|1325356200000|1328034600000
4398046512649|30786325580060|1325356200000|1328034600000
15393162793611|8796093029735|1325356200000|1328034600000
24189255811922|26388279070696|1325356200000|1328034600000
32985348839110|10240|1325356200000|1328034600000
4398046512306|8796093032197|1325356200000|1328034600000
19791209310478|13194139534668|1325356200000|1328034600000
2199023266520|8796093025804|1333218600000|1335810600000
10995116277907|8796093026338|1333218600000|1335810600000
17592186052272|30786325584456|1333218600000|1335810600000
10995116283384|8796093030364|1333218600000|1335810600000
10995116284314|2199023260376|1333218600000|1335810600000
8796093031549|19791209310670|1333218600000|1335810600000
4398046517867|13194139543686|1333218600000|1335810600000
32985348842795|15393162797634|1333218600000|1335810600000
24189255818533|30786325587276|1333218600000|1335810600000
28587302322530|4398046513915|1333218600000|1335810600000
