0 11619 11722 11781 11498
0 9416 9134 11316 9367
0 10572 10383 10280 11631
0 9203 8783 10448 8975
0 9085 9053 9216 8907
0 8287 8324 10343 9930
0 9058 9170 9118 8851
0 6440 6482 6630 6750
0 9577 7937 7952 8293
0 7519 7411 7293 7388
0 8060 8192 7989 9906
0 7640 7593 7526 7515
0 8592 8450 8246 8163
0 7932 6162 6090 6038
0 7910 7861 7750 7949
0 8206 8137 8209 10032
0 6142 6026 6186 6091
0 7983 7900 7785 7872
0 8759 10148 8585 8607
0 7588 7903 7503 7699
0 68711 66792 69255 66057
0 6869 7137 6827 6880
0 5965 5955 5792 6000
0 6306 6295 6309 7941
0 6190 6341 6430 6417
0 7358 7476 7511 7610
0 6427 6616 8139 6323
0 5829 6072 5902 5559
0 4843 4978 4770 4796
0 6211 6137 6308 6150
0 6824 6853 6915 6937
0 5824 5738 5816 5839
0 6209 6555 6453 6398
0 6283 6531 6344 6740
0 4902 4785 5034 4906
0 5426 5520 5369 5734
0 6068 7613 6105 5976
0 5595 5472 5548 5773
0 5532 5481 5519 5868
0 5198 4803 5033 5086
0 5539 5560 5699 5703
0 5577 5603 5621 6005
0 4534 4725 4579 4567
0 5352 7297 5512 5622
